CodIbge	multas2006	multas2007	multas2008	multas2009	multas2010	multas2011
2107506	NA	NA	NA	NA	NA	1
2107605	NA	1	NA	NA	NA	NA
2107902	NA	NA	NA	NA	1	NA
2108207	NA	1	NA	NA	NA	NA
2108504	NA	NA	NA	1	NA	NA
2108603	NA	NA	NA	1	NA	1
2109007	1	NA	3	5	1	5
2109502	NA	NA	NA	3	NA	NA
2109551	NA	1	NA	8	1	1
2109601	NA	NA	NA	NA	NA	NA
2109908	NA	1	NA	NA	NA	NA
2110039	NA	1	NA	NA	NA	2
2110658	NA	NA	NA	NA	NA	1
2110856	NA	NA	NA	NA	NA	1
2111029	NA	NA	NA	1	NA	NA
2111052	NA	NA	NA	NA	NA	1
2111201	NA	NA	NA	NA	1	NA
2111300	NA	NA	NA	NA	NA	1
2111508	1	NA	NA	NA	NA	NA
2111532	NA	NA	1	NA	NA	NA
2111607	NA	NA	NA	1	NA	1
2111763	NA	6	NA	1	NA	3
2111805	NA	6	1	2	4	1
2112001	NA	NA	NA	NA	NA	2
2112308	NA	NA	14	1	4	NA
2112407	NA	NA	NA	1	NA	NA
2112803	NA	NA	NA	1	NA	NA
2112852	NA	NA	2	NA	NA	1
2114007	NA	5	NA	NA	NA	1
5100102	NA	5	NA	1	NA	NA
5100201	1	6	5	5	1	5
5100250	23	52	30	27	15	28
5100300	16	1	1	NA	NA	NA
5100359	NA	NA	7	17	12	31
5100409	11	NA	3	7	NA	NA
5100508	NA	NA	5	NA	2	NA
5100607	6	3	3	NA	2	NA
5100805	10	13	3	22	12	7
5101001	NA	NA	4	7	4	1
5101209	NA	1	7	2	NA	NA
5101258	NA	1	NA	NA	NA	NA
5101407	49	49	29	56	62	54
5101605	NA	NA	1	NA	NA	1
5101704	NA	3	NA	NA	NA	NA
5101803	NA	1	9	2	5	NA
5101852	NA	1	6	15	19	16
5101902	9	NA	24	13	10	12
5102504	24	20	24	31	3	2
5102603	NA	NA	1	5	1	NA
5102637	NA	2	NA	NA	1	1
5102678	5	3	5	2	NA	2
5102686	NA	1	NA	NA	1	1
5102694	NA	8	10	9	7	10
5102702	NA	8	34	28	17	23
5102793	1	7	11	3	1	NA
5102850	3	1	9	6	NA	2
5103007	1	2	2	15	NA	NA
5103056	12	8	21	5	2	24
5103106	2	7	6	8	5	2
5103205	4	2	1	NA	NA	NA
5103254	50	29	138	42	75	98
5103304	9	11	11	7	2	4
5103353	2	2	5	42	13	55
5103361	NA	1	NA	2	NA	NA
5103379	NA	5	24	4	41	7
5103403	5	14	49	3	2	2
5103437	NA	NA	NA	NA	1	NA
5103502	NA	NA	9	1	NA	NA
5103601	NA	NA	2	NA	NA	NA
5103700	10	22	31	24	14	19
5103809	2	4	NA	NA	NA	NA
5103858	5	42	53	35	17	33
5103908	1	NA	NA	1	NA	NA
5103957	4	NA	NA	NA	1	NA
5104104	13	33	16	10	NA	16
5104203	4	2	4	9	1	1
5104500	NA	4	NA	NA	NA	NA
5104526	NA	6	6	2	NA	8
5104542	NA	1	3	22	5	23
5104559	8	5	2	6	5	13
5104609	11	6	1	7	2	NA
5104807	NA	NA	6	NA	NA	NA
5104906	NA	4	NA	1	NA	NA
5105002	NA	5	1	3	NA	NA
5105101	2	16	44	101	16	19
5105150	8	86	19	32	34	3
5105176	5	29	2	1	23	5
5105200	5	3	5	1	NA	NA
5105234	3	14	NA	2	NA	NA
5105259	NA	2	25	5	2	3
5105309	NA	NA	NA	2	NA	NA
5105507	4	13	8	10	6	8
5105580	2	21	51	37	5	20
5105606	6	16	13	1	3	13
5105622	NA	3	1	2	NA	NA
5105903	NA	NA	4	NA	NA	NA
5106109	NA	7	NA	4	3	NA
5106158	2	32	29	43	47	38
5106174	NA	NA	2	1	2	10
5106182	NA	1	6	3	4	39
5106190	NA	NA	2	NA	NA	3
5106216	3	7	3	1	2	4
5106224	NA	2	3	3	NA	NA
5106232	NA	5	NA	NA	NA	NA
5106240	4	13	24	7	21	30
5106257	NA	NA	1	2	3	NA
5106265	12	14	8	12	15	20
5106273	1	NA	2	19	NA	NA
5106281	NA	NA	3	NA	NA	NA
5106299	6	40	28	12	13	18
5106307	41	6	13	14	11	3
5106315	NA	NA	2	1	2	3
5106372	6	16	7	4	NA	2
5106422	10	10	31	5	3	8
5106505	2	5	1	8	NA	NA
5106653	1	NA	7	3	3	4
5106703	NA	NA	1	3	1	NA
5106752	1	11	7	11	19	19
5106778	1	NA	NA	9	1	11
5106802	NA	4	35	2	NA	9
5106828	NA	NA	2	1	NA	1
5106851	NA	2	5	2	NA	1
5107008	4	6	9	4	1	1
5107040	2	NA	NA	1	NA	2
5107065	1	10	68	25	147	48
5107107	NA	3	NA	1	NA	NA
5107156	NA	NA	NA	NA	1	NA
5107180	NA	15	16	12	26	39
5107206	NA	2	NA	NA	NA	NA
5107248	5	11	17	8	8	8
5107263	NA	NA	1	NA	NA	NA
5107297	NA	3	4	2	NA	NA
5107305	3	1	31	NA	2	NA
5107354	5	4	5	6	12	28
5107578	3	2	7	43	12	1
5107602	16	30	50	48	13	6
5107701	1	4	9	1	NA	NA
5107743	5	NA	10	11	2	42
5107750	NA	3	NA	NA	NA	NA
5107768	2	NA	NA	NA	2	2
5107776	5	3	9	8	NA	4
5107800	1	5	2	1	18	NA
5107859	6	2	10	6	16	49
5107875	NA	NA	NA	NA	4	NA
5107883	NA	NA	3	NA	4	NA
5107909	17	34	65	18	7	20
5107925	3	5	13	11	4	5
5107941	NA	6	16	5	2	7
5107958	NA	NA	NA	NA	NA	NA
5108006	NA	2	8	4	1	25
5108055	2	2	5	NA	NA	NA
5108105	1	5	2	NA	NA	NA
5108204	4	NA	1	9	NA	NA
5108303	3	9	9	10	19	44
5108352	1	NA	NA	NA	5	1
5108402	4	1	NA	1	NA	NA
5108501	1	30	10	14	1	3
5108600	16	26	19	16	12	24
5108808	NA	4	NA	NA	NA	NA
5108907	1	9	43	28	6	5
5108956	7	26	8	20	1	2
