Municipio	CodIbge	AreaKm2	Desmatado	Floresta
Rolim de Moura	1100288	1471	1314.1	156.9
Monte Negro	1101401	1956	1301.7	608.8
São Domingos do Capim	1507201	1687	1299	0
Parauapebas	1505536	7019	1295.6	5515.7
Xambioá	1722107	1641	1291.1	310.2
Cantá	1400175	7714	1275.5	4870.1
Senador Guiomard	1200450	1887	1268.9	611.7
Cidelândia	2103257	1473	1266.7	167.7
Barra do Garças	5101803	9147	1262.8	238.7
Alenquer	1500404	22275	1261	16342.6
Santa Fé do Araguaia	1718865	1682	1251.3	374.6
Cujubim	1100940	3901	1245.7	2646.7
Maués	1302900	40079	1245.3	35305.9
Alto Alegre dos Parecis	1100379	3993	1242.5	1811
Bujari	1200138	3572	1242.3	2206.6
São Domingos do Araguaia	1507151	1396	1240.8	155.2
Jacareacanga	1503754	53409	1238.6	46103.4
Santa Luzia do Pará	1506559	1361	1229	98.5
Araputanga	5101258	1608	1224.4	346.7
Manaus	1302603	11474	1223.9	8682
Cachoeira do Piriá	1501956	2439	1222.6	1158.3
Pimenteiras do Oeste	1101468	6067	1220.8	2359
Bacabal	2101202	1707	1199.2	0
Irituia	1503507	1387	1196.5	0
Ourilândia do Norte	1505437	13840	1194.1	9028.3
Portel	1505809	25425	1193.3	14139.7
Colorado do Oeste	1100064	1459	1183.5	222.3
São José dos Quatro Marcos	5107107	1284	1178.7	67.5
Governador Newton Bello	2104651	1177	1168.6	7.6
São Gabriel da Cachoeira	1303809	112501	1167.5	95179.7
Juruena	5105176	3200	1160.4	1850
Nova Brasilândia	5106208	3269	1159.5	198.9
Sapucaia	1507755	1302	1154.1	147.9
Nova Olinda do Maranhão	2107357	2487	1153.6	1070.9
Ananás	1701002	1596	1150.8	199.7
Vale do Anari	1101757	3166	1147	1988.6
Turilândia	2112456	1529	1146.8	150.4
Tuntum	2112308	3619	1146	495.6
Autazes	1300300	7634	1145.2	4997.1
Tarauacá	1200609	16278	1144.1	15126
Denise	5103452	1304	1137.3	161.6
Xapuri	1200708	5416	1129.7	4285.4
Salto do Céu	5107750	1316	1127.2	155.8
Nova Ipixuna	1504976	1605	1117.7	268
Juruti	1503903	8307	1114.8	4867.9
Imperatriz	2105302	1376	1105.4	91.9
