Municipio,CodIbge,Estado,AreaKm2,Desmatado2004,Incremento20032004,Floresta2004,Nuvem2004,NaoObservado2004,NaoFloresta2004,Hidrografia2004
Seringueiras,1101500,RO,2280,1004.4,71.4,1108.6,0,0,167,0
Nova Olímpia,5106232,MT,1570,999.8,1.5,253.7,0,0,316.5,0
Juruena,5105176,MT,3200,999.6,94.1,2010.8,0,0,160.9,28.7
Jauru,5105002,MT,1221,997.2,2.1,109.7,0,0.3,113.8,0
Santo Antônio do Leverger,5107800,MT,12270,996.7,11.8,1151.4,0,0.4,10099.9,21.6
Aveiro,1501006,PA,17094,989.2,41.5,15352.1,14.2,1.4,18.2,718.9
Rio Crespo,1100262,RO,1744,988.3,29.3,732.5,0,0,23.2,0
Parecis,1101450,RO,2567,985.4,63.4,1099.2,0,0,482.1,0.3
Rorainópolis,1400472,RR,33850,974.8,32.8,24638.1,10.4,6,7643.4,577.3
Brejo Grande do Araguaia,1501758,PA,1191,974.4,13.7,160.5,0,0,29.1,27
Coroatá,2103604,MA,2298,965.6,0,0.5,0,1331.9,0,0
Vila Nova dos Martírios,2112852,MA,1197,945.7,3.4,106.3,0,1.4,131.3,12.3
Santa Luzia d'Oeste,1100296,RO,1207,943.9,8.1,263.1,0,0,0,0
Muricilândia,1713957,TO,1194,941.9,6.9,226.4,0,0,0,25.7
Cabixi,1100031,RO,1322,940.7,21.6,364.9,0,0.6,11.3,4.5
Paulo Ramos,2108108,MA,937,937.8,0,0,0,0,0,0
Parintins,1303403,AM,5961,931.4,2.8,1614.2,1.1,0,1132.3,2282
Grajaú,2104800,MA,7480,925.3,32.1,1802.6,0,0,4752.1,0
Lambari d'Oeste,5105234,MT,1338,916.2,3.4,247.7,0,0.7,172.9,0.5
Juscimeira,5105200,MT,2206,914,2.4,46.9,0,0,1244,1.1
Mirassol d'Oeste,5105622,MT,1077,912.6,9.5,130.2,0,0.1,34.1,0
Monção,2106904,MA,1359,909.2,12.8,129.7,6.4,0.1,189.5,124.1
Nortelândia,5106000,MT,1353,906.7,5,295.7,0,0,150.6,0
Nova Guarita,5108808,MT,1089,905.4,13.9,183,0,0,0,0.6
Alcântara,2100204,MA,1502,905.1,0.1,177.2,3.5,0,71.8,344.4
Santo Afonso,5107263,MT,1172,905,9.7,262.3,0,0,4.7,0
Aragominas,1701309,TO,1179,901.2,17.6,250.9,0,0,17.9,9
Nova Marilândia,5108857,MT,1943,893.4,26.5,480,0,0.2,569.4,0
Pau d'Arco,1505551,PA,1675,892.9,12.8,367.9,0,0.1,414.1,0
Cândido Mendes,2102606,MA,1748,892.8,0.5,649.5,5.1,0.7,82.7,117.2
Bernardo Sayão,1703206,TO,930,889.8,2.2,27.1,0,0,0,13.1
Itaporã do Tocantins,1711100,TO,924,874.8,5.1,48.7,0,0.5,0,0
Castanhal,1502400,PA,1035,873.5,8.6,0,0,162.9,0,0
Caracaraí,1400209,RR,47820,866.7,33.7,31591,284.9,11.2,14491.9,574.3
Santa Luzia do Paruá,2110039,MA,914,864.6,0.1,18.8,0.1,0.3,30.2,0
Vale do Paraíso,1101807,RO,973,860.9,4,108.1,0,0,3.4,0.6
Nova Brasilândia d'Oeste,1100148,RO,1166,860,16.8,241.3,0,0,64.7,0
Pinheiro,2108603,MA,1483,858.9,2,84.2,19,0,415.5,105.4
Pequizeiro,1716653,TO,1212,835.9,3.9,73.9,0,0,302.2,0
Centro do Guilherme,2103158,MA,1084,834.4,3.7,249.6,0,0,0,0
São Miguel do Guamá,1507607,PA,1117,833.3,33.6,0.8,0,282.9,0,0
Nova Olinda,1714880,TO,1780,822.4,0.4,18.1,0,0.6,938.9,0
Rondonópolis,5107602,MT,4166,818.2,1.5,279,0,0.1,3063,5.7
Epitaciolândia,1200252,AC,1710,817.8,25,884,0,8.1,0,0.1
Trairão,1508050,PA,11996,817.1,81.4,11077.3,0,0.2,1.1,100.3
Araguaiana,5101001,MT,6421,813.8,5,542.1,0,18.4,5031.1,15.6
São João do Araguaia,1507508,PA,1291,812.7,28.9,296,0,0,73.3,109
Porto Alegre do Norte,5106778,MT,3982,802.1,18.3,728.8,0,0,2451.1,0
Dom Aquino,5103601,MT,2207,799.1,0.1,48.6,0,0,1359.3,0
Capixaba,1200179,AC,1765,786.5,32.2,972.1,0,6.4,0,0
União do Sul,5108303,MT,4583,784.6,104.6,3772.5,0,2.1,23.8,0
Prainha,1506005,PA,12600,779.9,12.6,7381.2,6.7,9.7,2872.5,1550
Cerejeiras,1100056,RO,2804,769.5,18.9,792.6,0,0,1241.9,0
Nova Xavantina,5106257,MT,5527,768.8,4.1,286,0,0,4445.4,26.8
Belterra,1501451,PA,4404,768.5,27.3,3032.3,0,0,0,603.2
Palestina do Pará,1505494,PA,986,764,16.1,192,0,0,0.4,29.6
Acrelândia,1200013,AC,1610,763.9,36.5,843.9,0,2.2,0,0
Guajará,1301654,AM,9389,755.4,56.8,8352.7,0,0,273.9,7
Piraquê,1717206,TO,926,753.8,1.9,98.8,0,0.2,73.2,0
Maranhãozinho,2106375,MA,964,750.4,2.4,213.6,0,0,0,0
Coari,1301209,AM,58834,749.2,4.3,54498.7,0.4,1.4,821.5,2762.8
Pio XII,2108702,MA,827,749,0,0,0,0,47.1,32.3
Colméia,1716703,TO,995,748.6,2.8,26.1,0,0.5,219.8,0
Araguanã,2100873,MA,810,746.3,0.1,60.1,3.6,0,0,0
Manacapuru,1302504,AM,7381,745.9,7.7,4409.2,0.8,0.1,804.5,1420.5
Itapuã do Oeste,1101104,RO,4131,738.4,38.9,3183.7,0,0.3,2.5,206.1
Barreirinha,1300508,AM,5759,737,3.7,3655.8,0,0,408.8,957.4
Araguanã,1702158,TO,837,733.1,12.6,77.1,0,0,12.5,14.3
Caroebe,1400233,RR,12122,733,28.9,11279.1,5.4,8,12.8,83.7
Figueirópolis d'Oeste,5103809,MT,893,731.9,0,50.7,0,0,110.4,0
Novo Horizonte do Oeste,1100502,RO,852,725.8,9.2,121.5,0,0,4.7,0
São Domingos do Maranhão,2110708,MA,1321,724.7,39.9,478.6,0,0,117.7,0
Augusto Corrêa,1500909,PA,1101,723.3,1,285.5,11.3,0.2,4.6,76.1
Novo Horizonte do Norte,5106273,MT,940,714.7,7.1,217.7,0,0,0,7.6
Lagoa Grande do Maranhão,2105963,MA,742,703.4,0.5,37.2,1.4,0,0,0
Castanheiras,1100908,RO,901,702,5.6,196.2,0,0,0.6,2.2
São Francisco do Brejão,2110856,MA,751,699.8,2.9,51.2,0,0,0,0
Ministro Andreazza,1101203,RO,805,698.6,5.5,106.4,0,0,0,0
Presidente Dutra,2109106,MA,805,693.7,10.9,111.3,0,0,0,0
Marajá do Sena,2106359,MA,833,692.2,2.1,140,0.8,0,0,0
Vale de São Domingos,5108352,MT,2007,689.6,10.2,506.9,0,0.2,810.3,0
Jaciara,5104807,MT,1657,683.1,0.1,16.2,0,0,957.7,0
Mirinzal,2106805,MA,697,682.5,0,11.6,2.6,0,0,0.3
Nova União,1101435,RO,815,682.2,10,128.9,0,0.1,3.8,0
Altamira do Maranhão,2100402,MA,677,677.5,0,0,0,0,0,0
Oeiras do Pará,1505205,PA,3863,673,4,2316.8,200.1,0.3,379,293.8
Alto Alegre,1400050,RR,25870,671.3,24.5,21413.1,965,113.1,2610.4,97.1
Urupá,1101708,RO,840,670.7,6.4,70.5,0,0,98.8,0
