Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
Alto Araguaia,5100300,MT,0,0,0,0,211.9,5333.1,0
Alto Garças,5100409,MT,0,0,0,0,0,3657.2,0
Alto Taquari,5100607,MT,0,0,0,0,9.4,1387.8,0
Fátima,1707553,TO,0,0,0,0,0,384.7,0
Figueirópolis,1707652,TO,0,0,0,0,0,1933.8,0
Filadélfia,1707702,TO,0,0,0,0,0,1975.1,22.2
Araguainha,5101209,MT,0,0,0,0,1.6,686.8,0
Goiatins,1709005,TO,0,0,0,0,0.2,6436.6,15.5
Gurupi,1709500,TO,0,0,0,0,0,1844.5,0
Ipueiras,1709807,TO,0,0,0,0,0,817.3,0
Itacajá,1710508,TO,0,0,0,0,0,3072.2,0
Itapiratins,1710904,TO,0,0,0.9,0,0,1215,35.1
Jaú do Tocantins,1711506,TO,0,0,0,0,12.3,2174.2,0
Lagoa do Tocantins,1711951,TO,0,0,0,0,0,919.1,0
Lajeado,1712009,TO,0,0,1.2,0,0,313.8,9
Lavandeira,1712157,TO,0,0,0,0,8.3,516.9,0
Lizarda,1712405,TO,0,0,2.7,0,0.6,5764.7,0
Mateiros,1712702,TO,0,0,0,0,261.5,9413.5,0
Miracema do Tocantins,1713205,TO,0,0,0,0,0,2650.9,17.7
Monte do Carmo,1713601,TO,0,0,0,0,0,3633.5,1.3
Natividade,1714203,TO,0,0,0,0,0,3236.6,0
General Carneiro,5103908,MT,0,0,0,0,1.7,3720.1,2.3
Nova Rosalândia,1715002,TO,0,0,0,0,0.1,490.3,0
Novo Acordo,1715101,TO,0,0,0,0,0,2686.2,0
Novo Alegre,1715150,TO,0,0,0,0,45.1,156.6,0
Novo Jardim,1715259,TO,0,0,0,0,3.7,1317.7,0
Oliveira de Fátima,1715507,TO,0,0,0,0,0,207.2,0
Palmeirópolis,1715754,TO,0,0,0,0,7.3,1703.2,0
Paraíso do Tocantins,1716109,TO,0,0,0,0,0.4,1304.3,0
Jangada,5104906,MT,0,0,0,0,0,1022.3,0
Paranã,1716208,TO,0,0,0,0,12.5,11308.6,0
Peixe,1716604,TO,0,0,0,0,0,5314.3,0
Pindorama do Tocantins,1717008,TO,0,0,0,0,0,1567.4,0
Ponte Alta do Bom Jesus,1717800,TO,0,0,0,0,3.2,1816.3,0
Ponte Alta do Tocantins,1717909,TO,0,0,0.4,0,0,6524.8,9.8
Porto Alegre do Tocantins,1718006,TO,0,0,0.1,0,0,504.9,0
Porto Nacional,1718204,TO,0,0,0,0,0,4440.7,33.1
Pugmil,1718451,TO,0,0,0,0,0,403.3,0
Rio da Conceição,1718659,TO,0,0,0,0,7.4,770,0
Rio Sono,1718758,TO,0,0,0.1,0,1.6,6393.3,0
Santa Maria do Tocantins,1718881,TO,0,0,1.5,0,0,1410.7,7.8
Santa Rosa do Tocantins,1718907,TO,0,0,0,0,0,1804.3,0
Santa Tereza do Tocantins,1719004,TO,0,0,0,0,0,543.9,0
São Félix do Tocantins,1720150,TO,0,0,0,0,0,1923.2,0
São Salvador do Tocantins,1720259,TO,0,0,0,0,0,1430.9,0
Pontal do Araguaia,5106653,MT,0,0,0,0,0.7,2747.4,7.9
Ponte Branca,5106703,MT,0,0,0,0,1.8,686.4,0
São Valério da Natividade,1720499,TO,0,0,0,0,0,2531.7,0
Silvanópolis,1720655,TO,0,0,0,0,0,1268.5,0
Sucupira,1720853,TO,0,0,0,0,0,1031.3,0
Taguatinga,1720903,TO,0,0,0,0,3.9,2454.1,0
Taipas do Tocantins,1720937,TO,0,0,0,0,0,1123.3,0
Talismã,1720978,TO,0,0,0,0,4,2157.4,0
Palmas,1721000,TO,0,0,1.4,0,0,2206.3,19.3
Tocantínia,1721109,TO,0,0,1.3,0,0.3,2599.5,15.9
Tupirama,1721257,TO,0,0,0,0,0,707.2,9.3
Ribeirãozinho,5107198,MT,0,0,0,0,2.1,620.1,0
Afonso Cunha,2100105,MA,0,0,0,0,378.6,0,0
Água Doce do Maranhão,2100154,MA,0,0,0,0,451.9,0,0
Aldeias Altas,2100303,MA,0,0,0,0,1973.9,0,0
Anapurus,2100808,MA,0,0,0,0,620.7,0,0
Tesouro,5108105,MT,0,0,0,0,5.1,4011.2,1
Torixoréu,5108204,MT,0,0,0,0,2.1,2395.1,1
Várzea Grande,5108402,MT,0,0,0,0,1.4,937.1,0
Balsas,2101400,MA,0,0,1.1,0,0,13256.9,0
Barreirinhas,2101707,MA,0,0,0,0,3172.4,0,0
Belágua,2101731,MA,0,0,0,0,504.9,0,0
Carolina,2102804,MA,0,0,2,0,0.2,6431.1,53.7
Chapadinha,2103208,MA,0,0,0,0,3305.7,0,0
Feira Nova do Maranhão,2104073,MA,0,0,0,0,0,1486.7,0
Fortaleza dos Nogueiras,2104107,MA,0,0,0,0,0,1680.6,0
Humberto de Campos,2105005,MA,0,0,0,0,2166.5,0,0
Lagoa do Mato,2105922,MA,0,0,0,0,1310.3,0,0
Mata Roma,2106409,MA,0,0,0,0,556.7,0,0
Mirador,2106706,MA,0,0,0.4,0,0.1,8715.5,0
Nina Rodrigues,2107209,MA,0,0,0,0,579.9,0,0
Nova Colinas,2107258,MA,0,0,0,0,0,749.9,0
Paraibano,2107704,MA,0,0,2.6,0,466.2,70.2,0
Passagem Franca,2107902,MA,0,0,0,0,1378.6,0,0
Pastos Bons,2108009,MA,0,0,3.2,0,211.4,1428.4,0
Paulino Neves,2108058,MA,0,0,0,0,998.7,0,0
Primeira Cruz,2109403,MA,0,0,0,0,1394.1,0,0
Riachão,2109502,MA,0,0,0,0,0,6422.8,0
Santana do Maranhão,2110237,MA,0,0,0,0,1116.2,0,0
Santo Amaro do Maranhão,2110278,MA,0,0,0,0,1628.2,0,0
São Benedito do Rio Preto,2110401,MA,0,0,0,0,946.2,0,0
São Domingos do Azeitão,2110658,MA,0,0,0,0,0,1071.7,0
São Pedro dos Crentes,2111573,MA,0,0,0,0,0,988.5,0
São Raimundo das Mangabeiras,2111607,MA,0,0,0,0,0,3556.4,0
Sucupira do Norte,2111904,MA,0,0,0,0,0,1007,0
Sucupira do Riachão,2111953,MA,0,0,0,0,574.5,0,0
Tutóia,2112506,MA,0,0,0,0,1521.5,0,0
Urbano Santos,2112605,MA,0,0,0,0,1229,0,0
Area nao mapeada pelo Prodes,2114999,MA,0,0,4.4,0,29835.7,25751.9,0
