Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
Corumbiara,1100072,RO,2147.5,1.4,837.2,0,0,97.3,0
Bannach,1501253,PA,2130.3,5.7,768.9,0,0.5,63.3,0
São Miguel do Guaporé,1100320,RO,2129.6,3.9,4169.9,4.1,0.1,1798.3,0
Paranatinga,5106307,MT,2093.4,20,5422.4,0,5.6,16655.6,8
Espigão d'Oeste,1100098,RO,2088.1,3,2164,0,0,296.4,0.5
Apiacás,5100805,MT,2066.9,15.2,16449.4,580.3,3.9,1051.9,249.6
Curionópolis,1502772,PA,2057.3,3.7,310.2,1.1,1.8,4.6,0
São Francisco do Guaporé,1101492,RO,2032.1,14.1,1917.6,0,0,855.3,0
Sinop,5107909,MT,2032,0.4,1116.2,0,0,30,14.8
Anapu,1500859,PA,2014.8,77.3,7284.4,2428.8,2.9,6.8,171.3
Feliz Natal,5103700,MT,2000.1,27.7,8717,0,4.1,704.5,22.3
Zé Doca,2114007,MA,1990.5,5.9,378.7,64.8,1,0,0
Boca do Acre,1300706,AM,1971.4,52.3,20844.7,5.2,2,58.4,131.3
Terra Nova do Norte,5108055,MT,1947.8,0.8,351.7,0,0,3.5,0
Medicilândia,1504455,PA,1942.2,46.8,5750.9,574.9,2.1,0,0.9
Turiaçu,2112407,MA,1932.6,5,365.6,188.4,0.2,48.3,65.9
Vera,5108501,MT,1924.8,1.1,1006.9,0,1.4,17.8,0.1
Buriticupu,2102325,MA,1921.2,13.6,631.3,12.1,1.4,0,1
Floresta do Araguaia,1503044,PA,1893.5,12.6,336.1,0,0.5,1175.9,48
Matupá,5105606,MT,1889.8,9.4,3045.2,0,0,218,0
Rondolândia,5107578,MT,1878.4,8.5,10761.3,23.3,1.3,52.5,25.2
Canarana,5102702,MT,1875.6,0,2175.6,0,1.7,6779.9,6.2
Campo Novo de Rondônia,1100700,RO,1871,20.1,1342.9,0,0,277.1,0
Alto Alegre do Pindaré,2100477,MA,1866.6,0.5,25.7,6.9,0.6,51.2,0
Poxoréo,5107008,MT,1858.6,0.3,94.7,0,0,4969.7,0
Óbidos,1505106,PA,1811.6,44.7,17710.8,2567.8,2.3,4594.5,1356
Araguatins,1702208,TO,1811.1,9.4,219.8,0,1.1,542.6,65.4
Cotriguaçu,5103379,MT,1801.5,26.1,7192.4,0.9,0,20.8,133.4
Arame,2100956,MA,1791.3,25,942.2,0,1.8,339.6,0.1
Nova Lacerda,5106182,MT,1781.3,6.9,1477.7,0,0,1497,0
Candeias do Jamari,1100809,RO,1778.3,12.6,4771.7,1.2,0.2,0,381.6
São José do Rio Claro,5107305,MT,1770.3,6.3,1886.5,0,0,1400.5,2.7
Rurópolis,1506195,PA,1762.5,32.4,4488.1,723.4,1.1,0,49.9
Theobroma,1101609,RO,1744.5,2,474,0,0,0,0.5
Placas,1505650,PA,1742.8,56.5,5049.6,380.2,1.2,0.1,0.1
Almeirim,1500503,PA,1742.1,38.6,46710.3,20710.2,53.4,2716.2,1036.8
Vitória do Xingu,1508357,PA,1741,8.5,415.8,657.8,1.2,0.1,153.1
Ouro Preto do Oeste,1100155,RO,1740.9,0,232.1,0,0.3,15.7,2
Canaã dos Carajás,1502152,PA,1734.3,1.4,1307.3,9.5,0.2,105.6,0.1
Bom Jesus do Tocantins,1501576,PA,1734.2,7.3,975,0.2,1.2,71.8,41.6
Vilhena,1100304,RO,1731.1,8.6,8159.6,0,3.8,1687,1.5
Apuí,1300144,AM,1728,45.6,51149.9,754.4,17,623.2,208.5
Bragança,1501709,PA,1722.5,2.6,245.5,46.8,0,38,55.2
Itacoatiara,1301902,AM,1717.5,19.4,2767.8,1942.9,2,831.7,1664.1
Carlinda,5102793,MT,1715.2,0.3,666,0,0,0,32.8
Mucajaí,1400308,RR,1686.2,60.8,4354.4,6601.6,2.2,196.2,37.4
Pedro do Rosário,2108256,MA,1673.2,0.2,17.8,9.8,0.1,69.1,0
Alto Paraíso,1100403,RO,1668,8.9,995,0,0.1,0.8,17.1
Lago da Pedra,2105708,MA,1655.1,0.1,0,0,0,0,0
Itaúba,5104559,MT,1641.5,2.9,2445.2,0,0,423.1,33.2
Bandeirantes do Tocantins,1703057,TO,1627.1,0.3,50.5,0,0.1,0.3,0
