"NOM_MUNICI" "COD_MUNICI" "count"
"196" "IPIXUNA DO PARA" "1503457" 31
"197" "IRITUIA" "1503507" 1
"198" "ITAITUBA" "1503606" 88
"199" "ITUPIRANGA" "1503705" 97
"200" "JACAREACANGA" "1503754" 49
"201" "JACUNDA" "1503804" 61
"202" "JURUTI" "1503903" 17
"203" "LIMOEIRO DO AJURU" "1504000" 1
"204" "MAE DO RIO" "1504059" 12
"205" "MARABA" "1504208" 342
"206" "MARACANA" "1504307" 1
"207" "MARITUBA" "1504422" 14
"208" "MEDICILANDIA" "1504455" 36
"209" "MELGACO" "1504505" 12
"210" "MOCAJUBA" "1504604" 2
"211" "MOJU" "1504703" 72
"212" "MONTE ALEGRE" "1504802" 22
"213" "NOVA ESPERANCA DO PIRIA" "1504950" 9
"214" "NOVA IPIXUNA" "1504976" 146
"215" "NOVO PROGRESSO" "1505031" 289
"216" "NOVO REPARTIMENTO" "1505064" 134
"217" "OBIDOS" "1505106" 44
"218" "OEIRAS DO PARA" "1505205" 19
"219" "ORIXIMINA" "1505304" 37
"220" "OUREM" "1505403" 2
"221" "OURILANDIA DO NORTE" "1505437" 18
"222" "PACAJA" "1505486" 188
"223" "PALESTINA DO PARA" "1505494" 18
"224" "PARAGOMINAS" "1505502" 178
"225" "PARAUAPEBAS" "1505536" 32
"226" "PAU D'ARCO" "1505551" 2
"227" "PIACAS" "1505650" 27
"228" "PONTA DE PEDRAS" "1505700" 2
"229" "PORTEL" "1505809" 59
"230" "PORTO DE MOZ" "1505908" 32
"231" "PRAINHA" "1506005" 13
"232" "QUATIPURU" "1506112" 1
"233" "REDENCAO" "1506138" 60
"234" "RIO MARIA" "1506161" 5
"235" "RONDON DO PARA" "1506187" 113
"236" "RUROPOLIS" "1506195" 19
"237" "SALINOPOLIS" "1506203" 2
"238" "SALVATERRA" "1506302" 1
"239" "SANTA BARBARA DO PARA" "1506351" 18
"240" "SANTA CRUZ DO ARARI" "1506401" 2
"241" "SANTA ISABEL DO PARA" "1506500" 7
"242" "SANTA MARIA DAS BARREIRAS" "1506583" 46
"243" "SANTA MARIA DO PARA" "1506609" 6
"244" "SANTANA DO ARAGUAIA" "1506708" 178
"245" "SANTAREM" "1506807" 130
"246" "SANTO ANTONIO DO TAUA" "1507003" 4
"247" "SAO CAETANO DE ODIVELAS" "1507102" 4
"248" "SAO DOMINGOS DO ARAGUAIA" "1507151" 19
"249" "SAO DOMINGOS DO CAPIM" "1507201" 1
"250" "SAO FELIX DO XINGU" "1507300" 433
"251" "SAO GERALDO DO ARAGUAIA" "1507458" 2
"252" "SAO JOAO DE PIRABAS" "1507474" 1
"253" "SAO JOAO DO ARAGUAIA" "1507508" 10
"254" "SAO MIGUEL DO GUAMA" "1507607" 1
"255" "SAO SEBASTIAO DA BOA VISTA" "1507706" 5
"256" "SENADOR JOSE PORFIRIO" "1507805" 64
"257" "SOURE" "1507904" 6
"258" "TAILANDIA" "1507953" 222
"259" "TERRA SANTA" "1507979" 2
"260" "TOME-ACU" "1508001" 30
"261" "TRAIRAO" "1508050" 55
"262" "TUCUMA" "1508084" 51
"263" "TUCURUI" "1508100" 109
"264" "ULIANOPOLIS" "1508126" 74
"265" "URUARA" "1508159" 170
"266" "VIGIA" "1508209" 11
"267" "VISEU" "1508308" 6
"268" "VITORIA DO XINGU" "1508357" 13
"269" "XINGUARA" "1508407" 35
"270" "SERRA DO NAVIO" "1600055" 15
"271" "AMAPA" "1600105" 51
"272" "PEDRA BRANCA DO AMAPARI" "1600154" 6
"273" "CALCOENE" "1600204" 25
"274" "CUTIAS" "1600212" 1
"275" "FERREIRA GOMES" "1600238" 3
"276" "ITAUBAL" "1600253" 2
"277" "LARANJAL DO JARI" "1600279" 5
"278" "MACAPA" "1600303" 57
"279" "MAZAGAO" "1600402" 9
"280" "OIAPOQUE" "1600501" 78
"281" "PORTO GRANDE" "1600535" 34
"282" "PRACUUBA" "1600550" 12
"283" "SANTANA" "1600600" 13
"284" "TARTARUGALZINHO" "1600709" 27
"285" "VITORIA DO JARI" "1600808" 6
"286" "ABREULANDIA" "1700251" 12
"287" "AGUIARNOPOLIS" "1700301" 1
"288" "ALIANCA DO TOCANTINS" "1700350" 10
"289" "ALMAS" "1700400" 13
