Municipio	AreaKm2	CodIbge	Desmatado	Floresta
Barão de Melgaço	11180	5101605	364.9	2212.2
Barcarena	1315	1501303	324	542.9
Barcelos	124166	1300409	199.9	59880.9
Barra do Bugres	7244	5101704	3600.2	2376.4
Barra do Corda	8054	2101608	3175.2	2364.5
Barra do Garças	9147	5101803	1272.6	224.9
Barra do Ouro	1112	1703073	0	0
Barreirinha	5759	1300508	776.2	3616.1
Barreirinhas	3172	2101707	0	0
Barrolândia	714	1703107	0	0
Bela Vista do Maranhão	255	2101772	225.5	0
Belágua	504	2101731	0	0
Belém	1071	1501402	247.5	747.2
Belterra	4404	1501451	804.8	2849.4
Benevides	189	1501501	125	34.7
Benjamin Constant	9151	1300607	188.1	8725.6
Bequimão	779	2101905	469.3	39.1
Bernardo do Mearim	264	2101939	192.5	0
Bernardo Sayão	930	1703206	893.7	23.2
Beruri	17412	1300631	210.1	15708.2
Boa Vista	5726	1400100	21	204
Boa Vista do Gurupi	405	2101970	325.6	74.2
Boa Vista do Ramos	2588	1300680	202.9	1125
Boca do Acre	23013	1300706	1971.4	20844.7
Bom Jardim	6647	2102002	3520.8	2363.9
Bom Jesus das Selvas	2700	2102036	2163.5	490.9
Bom Jesus do Araguaia	4282	5101852	2700.5	1199.6
Bom Jesus do Tocantins	2824	1501576	1734.2	975
Bom Jesus do Tocantins	1339	1703305	6.6	9.8
Bom Lugar	452	2102077	452.1	0
Bonfim	8141	1400159	376.7	1261.6
Bonito	590	1501600	539.1	28.2
Borba	44453	1300805	523.3	33502.1
Bragança	2108	1501709	1722.5	245.5
Brasil Novo	6370	1501725	2531	3307.7
Brasilândia do Tocantins	643	1703602	218.8	5
Brasiléia	4484	1200104	1416.7	3055.5
Brasnorte	16001	5101902	4296.4	7806.7
Brejinho de Nazaré	1730	1703701	0	0
Brejo de Areia	487	2102150	487.5	0
Brejo Grande do Araguaia	1191	1501758	1013.2	122.8
Breu Branco	3950	1501782	2734.7	946.6
Breves	9570	1501808	536.8	4215.5
Bujari	3572	1200138	1292.2	2279.4
Bujaru	1010	1501907	652.5	128.5
Buriti Bravo	1605	2102309	50.4	47.4
Buriti do Tocantins	250	1703800	215.2	0.6
Buriticupu	2567	2102325	1921.2	631.3
Buritirana	825	2102358	677.8	132.7
Buritis	3315	1100452	2205.2	1099.2
Caapiranga	9551	1300839	238.8	5394
Cabixi	1322	1100031	969.7	335.8
Cacaulândia	1986	1100601	1455.7	489.5
Cáceres	24446	5102504	2167.3	1659.4
Cachoeira do Arari	3114	1502004	72.8	517.4
Cachoeira do Piriá	2439	1501956	1380.7	950.9
Cachoeira Grande	716	2102374	29.1	70.1
Cachoeirinha	354	1703826	108.3	37.5
Cacoal	3820	1100049	2491.2	1294.3
Cajapió	917	2102408	85	247.7
Cajari	552	2102507	59.6	20.1
Calçoene	14284	1600204	180.3	6682.7
Cametá	3090	1502103	1111.4	869.4
Campestre do Maranhão	618	2102556	407.2	46.7
Campinápolis	5967	5102603	0.5	8.5
Campo Novo de Rondônia	3491	1100700	1871	1342.9
Campo Novo do Parecis	9467	5102637	262.8	1570.2
Campo Verde	4794	5102678	198	52.2
Campos de Júlio	6832	5102686	106.4	469
Campos Lindos	3266	1703842	0.1	0.7
Canaã dos Carajás	3157	1502152	1734.3	1307.3
CanaBrava do Norte	3450	5102694	1622.2	624.1
Canarana	10839	5102702	1875.6	2175.6
Candeias do Jamari	6933	1100809	1778.3	4771.7
Cândido Mendes	1748	2102606	933.4	393.8
Cantá	7714	1400175	1473.8	5024.2
Cantanhede	809	2102705	251.8	30.7
Canutama	30283	1300904	910.9	28009.6
Capanema	618	1502202	514.4	55.4
Capinzal do Norte	635	2102754	231.8	0
Capitão Poço	2924	1502301	2557.4	227.2
Capixaba	1765	1200179	837.8	920.6
Caracaraí	47820	1400209	981.7	23203.9
Carauari	26472	1301001	291.7	23284.8
Careiro	6126	1301100	1105.7	3929.7
Careiro da Várzea	2641	1301159	515	518.6
Cariri do Tocantins	1129	1703867	0	0
Carlinda	2414	5102793	1715.2	666
Carmolândia	340	1703883	306.8	33
Caroebe	12122	1400233	923.3	9918.6
Carolina	6487	2102804	0	2
Carrasco Bonito	195	1703891	106.8	0
Carutapera	1267	2102903	659.2	156.9
