Municipio	AreaKm2	CodIbge	Desmatado	Floresta
Santa Luzia do Pará	1361	1506559	1244.2	114.9
Santa Luzia do Paruá	914	2110039	867	15.5
Santa Maria das Barreiras	10350	1506583	5791.4	1997.5
Santa Maria do Pará	460	1506609	415.2	6.6
Santa Maria do Tocantins	1420	1718881	0	1.5
Santa Rita	800	2110203	289.8	309.2
Santa Rita do Tocantins	3288	1718899	21.2	17.3
Santa Rita do Trivelato	3347	5107768	666	687.4
Santa Rosa do Purus	6225	1200435	76.6	6077
Santa Rosa do Tocantins	1804	1718907	0	0
Santa Tereza do Tocantins	543	1719004	0	0
Santa Terezinha	6463	5107776	2546.7	2623.4
Santa Terezinha do Tocantins	271	1720002	72.7	24.3
Santana	1578	1600600	74.1	254.9
Santana do Araguaia	11607	1506708	7069.2	3661.6
Santana do Maranhão	1116	2110237	0	0
Santarém	22876	1506807	4586.1	13304
Santarém Novo	231	1506906	147.8	49.7
Santo Afonso	1172	5107263	953.3	214.1
Santo Amaro do Maranhão	1628	2110278	0	0
Santo Antônio do Içá	12746	1303700	134.5	10589.2
Santo Antônio do Leste	3597	5107792	2	66.9
Santo Antônio do Leverger	12270	5107800	1035.7	1107.8
Santo Antônio do Tauá	540	1507003	322.9	176.3
Santo Antônio dos Lopes	781	2110302	289.5	0
São Benedito do Rio Preto	946	2110401	0	0
São Bento	462	2110500	360.1	0.9
São Bento do Tocantins	1113	1720101	349.1	77.3
São Caetano de Odivelas	752	1507102	230.9	327.5
São Domingos do Araguaia	1396	1507151	1278	117.5
São Domingos do Azeitão	1071	2110658	0	0
São Domingos do Capim	1687	1507201	1333.9	88.7
São Domingos do Maranhão	1321	2110708	871.1	328.7
São Felipe d'Oeste	546	1101484	484.7	61.3
São Félix do Araguaia	16857	5107859	4408.7	6197.5
São Félix do Tocantins	1923	1720150	0	0
São Félix do Xingu	84249	1507300	16989.9	59390.7
São Francisco do Brejão	751	2110856	713.4	37.6
São Francisco do Guaporé	4805	1101492	2032.1	1917.6
São Francisco do Pará	480	1507409	418.9	44.4
São Gabriel da Cachoeira	112501	1303809	1192.4	83208
São Geraldo do Araguaia	3283	1507458	2540.5	396.1
São João Batista	699	2111003	148.1	52.3
São João da Baliza	4305	1400506	512.4	3652.5
São João da Ponta	196	1507466	105.6	65.5
São João de Pirabas	703	1507474	199.9	272
São João do Araguaia	1291	1507508	917.8	190.8
São João do Carú	622	2111029	410.3	139.5
São João do Paraíso	2069	2111052	253.3	19.8
São João do Soter	1462	2111078	0.9	0
São José de Ribamar	390	2111201	100.5	80.5
São José do Povo	443	5107297	25.9	0
São José do Rio Claro	5060	5107305	1770.3	1886.5
São José do Xingu	7467	5107354	4294.5	2801.4
São José dos Basílios	365	2111250	272.2	44.6
São José dos Quatro Marcos	1284	5107107	1184	62.4
São Luís	840	2111300	367.9	162.6
São Luís Gonzaga do Maranhão	981	2111409	652.9	0
São Luiz	1537	1400605	550.3	901.4
São Mateus do Maranhão	792	2111508	460.9	0
São Miguel do Guamá	1117	1507607	879.7	55.2
São Miguel do Guaporé	8102	1100320	2129.6	4169.9
São Miguel do Tocantins	400	1720200	339.9	42.8
São Paulo de Olivença	20470	1303908	176.1	17020.3
São Pedro da Água Branca	726	2111532	449.1	41.2
São Pedro da Cipa	344	5107404	306.3	7
São Pedro dos Crentes	988	2111573	0	0
São Raimundo das Mangabeiras	3556	2111607	0	0
São Raimundo do Doca Bezerra	284	2111631	280.5	3.2
São Roberto	230	2111672	230.3	0
São Salvador do Tocantins	1430	1720259	0	0
São Sebastião da Boa Vista	1636	1507706	122.7	1220.9
São Sebastião do Tocantins	288	1720309	139.2	0
São Sebastião do Uatumã	10775	1303957	202.4	8608.9
São Valério da Natividade	2531	1720499	0	0
São Vicente Ferrer	394	2111706	297.6	0
Sapezal	13640	5107875	184.3	2774.8
Sapucaia	1302	1507755	1158.8	143.2
Satubinha	613	2111722	523.5	0
Sena Madureira	26182	1200500	1563.9	23805.6
Senador Alexandre Costa	432	2111748	119.6	80
Senador Guiomard	1887	1200450	1290.9	586.9
Senador José Porfírio	14388	1507805	681.7	11193.8
Senador La Rocque	751	2111763	679.5	71.4
Seringueiras	2280	1101500	1137.2	976.8
Serra do Navio	7761	1600055	71.5	4409.1
Serra Nova Dourada	1481	5107883	300.6	229.9
Serrano do Maranhão	1222	2111789	1102.9	55.7
Silvanópolis	1268	1720655	0	0
Silves	3758	1304005	427.9	1957.4
Sinop	3193	5107909	2032	1116.2
Sítio Novo	3140	2111805	58.5	15.2
Sítio Novo do Tocantins	325	1720804	295.3	29.7
Sorriso	9350	5107925	3976.5	1254.2
Soure	3528	1507904	34.7	647.9
Sucupira	1031	1720853	0	0
Sucupira do Norte	1007	2111904	0	0
Sucupira do Riachão	574	2111953	0	0
Tabaporã	8233	5107941	2509.8	3483.1
Tabatinga	3346	1304062	156.6	3107.1
Taguatinga	2457	1720903	0	0
Tailândia	4451	1507953	2166.1	1903.8
Taipas do Tocantins	1123	1720937	0	0
Talismã	2161	1720978	0	0
Tangará da Serra	11596	5107958	2159.9	646.8
Tapauá	90959	1304104	306.1	86730.7
Tapurah	11610	5108006	5710.8	4492
Tarauacá	16278	1200609	1219.5	15050.8
Tartarugalzinho	6716	1600709	309	1708.1
Tefé	24187	1304203	634.2	20775.5
Teixeirópolis	467	1101559	443.9	23.1
Terra Alta	209	1507961	170.5	30.5
Terra Nova do Norte	2303	5108055	1947.8	351.7
Terra Santa	1900	1507979	341.2	769.6
Tesouro	4017	5108105	0	0
Theobroma	2219	1101609	1744.5	474
Timbiras	1509	2112100	17.9	0
Tocantínia	2617	1721109	0	1.3
Tocantinópolis	1084	1721208	302.5	131.6
Tomé-Açu	5168	1508001	2938.8	2160.9
Tonantins	6618	1304237	82.4	6150.3
Torixoréu	2397	5108204	0	0
Tracuateua	856	1508035	467.7	159.6
Trairão	11996	1508050	1079.5	10220.3
Trizidela do Vale	225	2112233	153.5	0
Tucumã	2513	1508084	2273.1	231.2
Tucuruí	2094	1508100	755.2	850
Tufilândia	280	2112274	255.9	0.1
Tuntum	3619	2112308	1196.1	410.4
Tupirama	714	1721257	0	0
Tupiratins	900	1721307	2.2	6.7
Turiaçu	2601	2112407	1932.6	365.6
Turilândia	1529	2112456	1183.2	128.3
Tutóia	1521	2112506	0	0
Uarini	10449	1304260	243.2	9638.4
Uiramutã	8116	1400704	45.6	1417
Ulianópolis	5115	1508126	3410.2	1687.1
União do Sul	4583	5108303	1029.9	3529.2
Urbano Santos	1229	2112605	0	0
Uruará	10794	1508159	3037.9	7614.1
Urucará	28014	1304302	335.5	23049.6
Urucurituba	2915	1304401	94.9	129.1
Urupá	840	1101708	685.8	55.6
Vale de São Domingos	2007	5108352	697	500.6
Vale do Anari	3166	1101757	1198.4	1937.4
Vale do Paraíso	973	1101807	868.3	100.5
Vargem Grande	1988	2112704	43.9	53.9
Várzea Grande	938	5108402	0	0
Vera	2951	5108501	1924.8	1006.9
Viana	1174	2112803	501.3	79.9
Vigia	536	1508209	216.9	273.5
Vila Bela da Santíssima Trindade	13698	5105507	4707.5	2303.4
Vila Nova dos Martírios	1197	2112852	962.7	89.3
Vila Rica	7450	5108600	4594.2	2643.8
Vilhena	11583	1100304	1731.1	8159.6
Viseu	4943	1508308	3445.1	1217.5
Vitória do Jari	2483	1600808	202.3	1448.6
Vitória do Mearim	736	2112902	239.4	17.7
Vitória do Xingu	2969	1508357	1741	415.8
Vitorino Freire	1130	2113009	1087.6	0
Wanderlândia	1382	1722081	313.5	144.3
Xambioá	1641	1722107	1320.8	280.4
Xapuri	5416	1200708	1163.7	4251.5
Xinguara	3794	1508407	3372.2	399.9
Zé Doca	2435	2114007	1990.5	378.7
